depth,NL_RC,NL_S3,NL_S8,NH_RC,NH_S3,NH_S8,JH_RC,JH_S3,JH_S8,JL_RC,JL_S3,JL_S8
-6.5,NA,NA,32.68,NA,NA,33.16,NA,NA,34.33,NA,NA,34.58
-6.6,NA,NA,32.68,NA,NA,33.16,NA,NA,34.29,NA,NA,34.57
-6.7,NA,NA,32.68,NA,NA,33.17,NA,NA,34.33,NA,NA,34.61
-6.8,NA,NA,32.68,NA,NA,33.16,NA,NA,34.32,NA,NA,34.57
-6.9,NA,NA,32.68,NA,NA,33.17,NA,NA,34.32,NA,NA,34.59
-7,NA,NA,32.68,NA,NA,33.17,NA,NA,34.32,NA,NA,34.61
-7.1,NA,NA,32.68,NA,NA,33.18,NA,NA,34.32,NA,NA,34.58
-7.2,NA,NA,32.68,NA,NA,33.18,NA,NA,34.34,NA,NA,34.63
-7.3,NA,NA,32.68,NA,NA,33.19,NA,NA,34.34,NA,NA,34.62
-7.4,NA,NA,32.68,NA,NA,33.19,NA,NA,34.32,NA,NA,34.62
-7.5,NA,NA,32.68,NA,NA,33.19,NA,NA,34.32,NA,NA,NA
-7.6,NA,NA,32.68,NA,NA,33.26,NA,NA,34.33,NA,NA,NA
-7.7,NA,NA,32.68,NA,NA,33.27,NA,NA,34.35,NA,NA,NA
-7.8,NA,NA,NA,NA,NA,33.31,NA,NA,34.32,NA,NA,NA
-7.9,NA,NA,NA,NA,NA,33.34,NA,NA,34.32,NA,NA,NA
-8,NA,NA,NA,NA,NA,33.44,NA,NA,34.32,NA,NA,NA
-8.1,NA,NA,NA,NA,NA,33.47,NA,NA,34.32,NA,NA,NA
-8.2,NA,NA,NA,NA,NA,33.47,NA,NA,34.32,NA,NA,NA
-8.3,NA,NA,NA,NA,NA,33.49,NA,NA,34.32,NA,NA,NA
-8.4,NA,NA,NA,NA,NA,33.48,NA,NA,34.32,NA,NA,NA
-8.5,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.6,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.7,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.8,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
